State Observation from node 8 at different cw 
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.75025e+09ns	+4.975e+07ns	IDLE	172	36
+1.8e+09ns	+250000ns	SWITCHING	172	36
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.80025e+09ns	+3.81202e+06ns	IDLE	178	37
+1.80406e+09ns	+764000ns	CCA_BUSY	178	37
+1.80483e+09ns	+6.97807e+06ns	IDLE	178	37
+1.8118e+09ns	+36000ns	CCA_BUSY	178	37
+1.81184e+09ns	+0ns	CCA_BUSY	178	37
+1.81184e+09ns	+728000ns	RX	178	37
+1.81257e+09ns	+2.4905e+07ns	IDLE	178	37
+1.83747e+09ns	+36000ns	CCA_BUSY	178	37
+1.83751e+09ns	+0ns	CCA_BUSY	178	37
+1.83751e+09ns	+728000ns	RX	178	37
+1.83824e+09ns	+9.17513e+06ns	IDLE	178	37
+1.84741e+09ns	+36000ns	CCA_BUSY	178	37
+1.84745e+09ns	+0ns	CCA_BUSY	178	37
+1.84745e+09ns	+728000ns	RX	178	37
+1.84818e+09ns	+87999ns	IDLE	178	37
+1.84826e+09ns	+36000ns	CCA_BUSY	178	37
+1.8483e+09ns	+0ns	CCA_BUSY	178	37
+1.8483e+09ns	+728000ns	RX	178	37
+1.84903e+09ns	+971786ns	IDLE	178	37
+1.85e+09ns	+250000ns	SWITCHING	178	37
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.85025e+09ns	+4.975e+07ns	IDLE	172	38
+1.9e+09ns	+250000ns	SWITCHING	172	38
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.90025e+09ns	+3.808e+06ns	IDLE	178	39
+1.90406e+09ns	+768000ns	TX	178	39
+1.90483e+09ns	+1.5974e+07ns	IDLE	178	39
+1.9208e+09ns	+36000ns	CCA_BUSY	178	39
+1.92084e+09ns	+0ns	CCA_BUSY	178	39
+1.92084e+09ns	+728000ns	RX	178	39
+1.92156e+09ns	+9.4611e+06ns	IDLE	178	39
+1.93103e+09ns	+36000ns	CCA_BUSY	178	39
+1.93106e+09ns	+0ns	CCA_BUSY	178	39
+1.93106e+09ns	+728000ns	RX	178	39
+1.93179e+09ns	+906999ns	IDLE	178	39
+1.9327e+09ns	+36000ns	CCA_BUSY	178	39
+1.93273e+09ns	+0ns	CCA_BUSY	178	39
+1.93273e+09ns	+728000ns	RX	178	39
